Name,Screen,Main Camera,Selfie Camera,Rom,Ram,Pin,Price
Sony xperia C4 Dual sim chính hãng," IPS LCD, 5.5"", Full HD",13 MP,5.0 MP, 16 GB, 2 GB,Pin: Li-Ion 2600 mAh,Liên hệ
Sony Xperia Z3 2 Sim," IPS LCD, 5.2"", Full HD",20.7 MP,2.2 MP, 16/32 GB, 3 GB,Pin: Li-Ion 3100 mAh,10.890.000 Đ
Sony Xperia Z3 compact Au/ Docomo Nhật (Unlock Code)," IPS LCD, 4.6"", HD",20.7 MP,2.2 MP, 16 GB, 2 GB,Pin: Li-Ion 2600 mAh,7.490.000 Đ
Sony Xperia Z3 compact Au/ Docomo Nhật ( Đã Unlock )," IPS LCD, 4.6"", HD",20.7 MP,2.2 MP, 16 GB, 2 GB,Pin: Li-Ion 2600 mAh,6.990.000 Đ
Sony Xperia C3 Quốc tế," IPS LCD, 5.5"", HD",8.0 MP,5.0 MP, 8 GB, 1 GB,Pin: Li-Ion 2500 mAh,4.190.000 Đ
Sony Xperia Z3 Compact Quốc tế," IPS LCD, 4.6"", HD",20.7 MP,2.2 MP, 16 GB, 2 GB,Pin: Li-Ion 2600 mAh,9.790.000 Đ
Sony Xperia Z3 Compact chính hãng," IPS LCD, 4.6"", HD",20.7 MP,2.2 MP, 16 GB, 2 GB,Pin: Li-Ion 2600 mAh,Liên hệ
Sony Xperia Z3 Au mới (Xước phím nguồn)," IPS LCD, 5.2"", Full HD",20.7 MP,2.2 MP, 32 GB, 3 GB,Pin: Li-Ion 3100 mAh,Liên hệ
Sony Xperia C3 Chính hãng," IPS LCD, 5.5"", HD",8.0 MP,5.0 MP, 8 GB, 1 GB,Pin: Li-Ion 2500 mAh,Liên hệ
Sony Xperia M2(D2305) chính hãng," TFT, 4.8""",8.0 MP,VGA, 8 GB, 1 GB,Pin: Li-Ion 2300 mAh,Liên hệ
Sony Xperia Z3 Chính hãng," IPS LCD, 5.2"", Full HD",20.7 MP,2.2 MP, 16 GB, 3 GB,Pin: Li-Ion 3100 mAh,Liên hệ
Sony Xperia Z5 Premium cũ likenew," IPS LCD, 5.5"", 4K",23 MP,5.1 MP, 32 GB, 3 GB,Pin: Li-Ion 3430 mAh,5.990.000 Đ
Sony Xperia Z5 mới trần," IPS LCD, 5.5"", Full HD",23 MP,5.1 MP, 32 GB, 3 GB,Pin: Li-Ion 2900 mAh,8.990.000 Đ
Sony Xperia Z5 Compact chính hãng," IPS LCD, 4.6"", HD",23 MP,5.1 MP, 32 GB, 2 GB,Pin: Li-Ion 2700 mAh,13.490.000 Đ
Sony Xperia Z2 Quốc Tế," IPS LCD, 5.2"", Full HD",20.7 MP,2.2 MP, 16 GB, 3 GB,Pin: Li-Ion 3200 mAh,Liên hệ
Sony Xperia Z2 Chính hãng," IPS LCD, 5.2"", Full HD",20.7 MP,2.2 MP, 16 GB, 3 GB,Pin: Li-Ion 3200 mAh,Liên hệ
Sony Xperia E4 chính hãng," IPS LCD, 5.0""",5.0 MP,2.0 MP, 8 GB, 1 GB,Pin: Li-Ion 2300 mAh,Liên hệ
Sony Xperia Z2 Quốc Tế 99%," IPS LCD, 5.2"", Full HD",20.7 MP,2.2 MP, 16 GB, 3 GB,Pin: Li-Ion 3200 mAh,Liên hệ
Sony Xperia Z Ultra Quốc Tế," IPS LCD, 6.44"", Full HD",8.0 MP,2.0 MP, 16 GB, 2 GB,Pin: Li-Ion 3050 mAh,6.590.000 Đ
Sony Xperia Z4v," IPS LCD, 5.2"", Full HD",20.7 MP,5.1 MP, 32 GB, 3 GB,Pin: Li-Ion 2930 mAh,Liên hệ
Sony Xperia Z4," IPS LCD, 5.2"", Full HD",20.7 MP,5.1 MP, 32 GB, 3 GB,Pin: Li-Ion 2930 mAh,Liên hệ
Sony Xperia ACRO HD cũ 99% Fullbox," LCD, 4.3"", HD",12 MP,1.3 MP, 16 GB, 1 GB,Pin: Li-Ion 1910 mAh,Liên hệ
Sony Xperia Z cũ 99% Fullbox," TFT, 5.0"", Full HD",13.1 MP,2.2 MP, 16 GB, 2 GB,Pin: Li-Ion 2330 mAh,Liên hệ
Sony Xperia SL(LT26ii)," LCD, 4.3"", HD",12 MP,1.3 MP, 32 GB, 1 GB,Pin: Li-Ion 1750 mAh,1.990.000 Đ
Sony Xperia ION," LCD, 4.55"", HD",12 MP,1.3 MP, 16 GB, 1 GB,Pin: Li-Ion 1900 mAh,2.990.000 Đ
Sony Xperia XA Dual," IPS LCD, 5.0"", HD",13 MP,8.0 MP, 16 GB, 2 GB,Pin: Li-Ion 2300 mAh,Liên hệ
Sony Xperia X Performance," IPS LCD, 5.0"", Full HD",23 MP,13 MP, 64 GB, 3 GB,Pin: Li-Ion 2700 mAh,Liên hệ
Sony Xperia M5 quốc tế," IPS LCD, 5.0"", Full HD",21.2 MP,13 MP, 16 GB, 3 GB,Pin: Li-Ion 2600 mAh,Liên hệ
Lenovo A3500 Chính hãng," IPS LCD, 7.0"", HD",, , 16 GB, 1 GB,Pin: Li-Po 3450 mAh,3.590.000 Đ
ASUS ZenPad 7.0 (Z370CG) chính hãng," IPS LCD, 7.0"", HD",8.0, 8.0 MP, 16 GB, 2 GB,Pin: ,1.999.999 Đ
Asus MeMo Pad 10(Me102A) Chính hãng," TFT, 10.1"", HD",2.0, 2.0 MP, 8 GB, 1 GB,Pin: Li-Po 5070 mAh,3.990.000 Đ
Asus FonePad 7 Dual Sim 3G(175CG)," TFT, 7.0"", VGA",3.15, 3.15 MP, 8 GB, 1 GB,Pin: Li-Po 3950 mAh,4.280.000 Đ
ASUS MeMO Pad HD 7 (ME173X) Chính hãng," TFT, 7.0"", VGA",2.0, 2.0 MP, 8 GB, 1 GB,Pin: ,2.490.000 Đ
Asus MeMo Pad 8 (Me180A) Chính hãng," IPS LCD, 10.1"", HD",2.0, 2.0 MP, 8 GB, 1 GB,Pin: Li-Ion 3950 mAh,2.990.000 Đ
Lenovo A1000 Chính hãng," TFT, 7.0"", VGA",, , 4 GB, 1 GB,Pin: Li-Po 3500 mAh,2.590.000 Đ
Asus Fonepad 7(FE170CG) Chính hãng," IPS LCD, 7.0"", HD",2.0, 2.0 MP, 8 GB, 1 GB,Pin: Li-Po 3950 mAh,2.790.000 Đ
HTC 10 mới," Super LCD 5, 5.2"", Quad HD (2K)",12 MP,5.0 MP, 32/64 GB, 4 GB,Pin: Li-Ion 3000 mAh,6.890.000 Đ
HTC 10 cũ likenew," Super LCD 5, 5.2"", Quad HD (2K)",12 MP,5.0 MP, 32 GB, 4 GB,Pin: Li-Ion 3000 mAh,3.990.000 Đ
HTC One M9 cũ Likenew," Super LCD 3, 5.0"", Full HD",20 MP,4.0 MP, 32 GB, 3 GB,Pin: Li-Po 2840 mAh,1.990.000 Đ
HTC ONE M8 cũ," Super LCD 3, 5.0"", Full HD",Dual 4.0 MP,5.0 MP, 32 GB, 2 GB,Pin: Li-Po 2600 mAh,2.590.000 Đ
HTC 10 EVO cũ likenew 99%," IPS LCD, 5.5″, Quad HD (2K)",16 MP,8.0 MP, 32 GB, 3 GB,Pin: Li-Ion 3200 mAh,2.990.000 Đ
HTC J Butterfly 2 (HTL23) chính hãng," Super LCD 3, 5.0"", Full HD",13 MP,5.0 MP, 16 GB, 2 GB,Pin: Li-Ion 2700 mAh,4.190.000 Đ
HTC Desire 628 Dual Sim chính hãng," IPS LCD, 5.0"", HD",13 MP,5.0 MP, 32 GB, 3 GB,Pin: Li-Ion 2200 mAh,3.490.000 Đ
HTC Desire 820 G+ chính hãng," Super LCD 3, 5.5"", HD",13 MP,8.0 MP, 16 GB, 1 GB,Pin: Li-Ion 2600 mAh,2.490.000 Đ
HTC Desire 728G Chính hãng," Super LCD 2, 5.5"", HD",13 MP,5.0 MP, 16 GB, 1.5 GB,Pin: Li-Ion 2600 mAh,3.390.000 Đ
HTC One A9 cũ Likenew," AMOLED, 5.0"", Full HD",13 MP,4.0 MP, 32 GB, 3 GB,Pin: Li-Ion 2150 mAh,4.990.000 Đ
HTC One M7 cũ (QSD)," Super LCD 3, 4.7"", Full HD",4.0 MP,2.1 MP, 32 GB, 2 GB,Pin: Li-Po 2300 mAh,2.790.000 Đ
HTC One M8 Eye," Super LCD 3, 5.0"", Full HD",Dual 13 MP,5.0 MP, 16 GB, 2 GB,Pin: Li-Po 2600 mAh,8.290.000 Đ
HTC J Butterfly 2 (HTL23)," Super LCD 3, 5.0"", Full HD",13 MP,5.0 MP, 16 GB, 2 GB,Pin: Li-Ion 2700 mAh,3.990.000 Đ
HTC One E9 Plus 2 sim Chính Hãng," Super LCD 3, 5.5"", QuadHD (2K)",20 MP,4.0 MP, 32 GB, 2 GB,Pin: Li-Po 2800 mAh,7.990.000 Đ
HTC One A9 chính hãng," AMOLED, 5.0"", Full HD",13 MP,4.0 MP, 16 GB, 2 GB,Pin: Li-Ion 2150 mAh,7.990.000 Đ
HTC Desire 620G chính hãng," Super LCD, 5.0"", HD",8.0 MP,5.0 MP, 8 GB, 1 GB,Pin: Li-Ion 2100 mAh,2.990.000 Đ
HTC U Ultra," Super LCD 5, 5.7"", Quad HD (2K)",12 MP,16 MP, 128/64 GB, 4 GB,Pin: Li-Ion 3000 mAh,Liên hệ
HTC Desire 10 Pro," IPS LCD, 5.0"", Full HD",20 MP,13 MP, 64 GB, 4 GB,Pin: Li-Ion 3000 mAh,7.390.000 Đ
HTC One X10," Super LCD, 5.5"", Full HD",16 MP,8.0 MP, 32 GB, 3 GB,Pin: Li-Ion 4000 mAh,Liên hệ
HTC Desire 326G Chính hãng," LCD, 4.5"", FWVGA",8.0 MP,2.0 MP, 8 GB, 1 GB,Pin: Li-Ion 2000 mAh,1.990.000 Đ
HTC One X9," Super LCD, 5.5"", Full HD",13 MP,5.0 MP, 32 GB, 3 GB,Pin: Li-Ion 3000 mAh,Liên hệ
HTC One M9 Chính Hãng," Super LCD 3, 5.0"", Full HD",20 MP,4.0 MP, 32 GB, 3 GB,Pin: Li-Po 2840 mAh,13.490.000 Đ
HTC One M9," Super LCD 3, 5.0"", Full HD",20 MP,4.0 MP, 32 GB, 3 GB,Pin: Li-Po 2840 mAh,11.990.000 Đ
HTC Desire 820S Chính Hãng," Super LCD 3, 5.5"", HD",13 MP,8.0 MP, 16 GB, 2 GB,Pin: Li-Po 2600 mAh,6.990.000 Đ
HTC Desire 820Q Chính Hãng," Super LCD 3, 5.5"", HD",13 MP,8.0 MP, 16 GB, 1 GB,Pin: Li-Po 2600 mAh,3.990.000 Đ
HTC One ME dual sim chính hãng," Super LCD 3, 5.2"", QuadHD (2K)",20 MP,4.0 MP, 32 GB, 3 GB,Pin: Li-Po 2840 mAh,5.490.000 Đ
HTC J Butterfly 3," Super LCD 3, 5.2"", QuadHD (2K)",20 MP,13 MP, 32 GB, 3 GB,Pin: Li-Po 2700 mAh,6.290.000 Đ
HTC One M9 Plus," Super LCD 3, 5.2"", QuadHD (2K)",Dual 20 MP,4.0 MP, 32 GB, 3 GB,Pin: Li-Po 2840 mAh,Liên hệ
HTC One E9 Plus," Super LCD 3, 5.5"", QuadHD (2K)",20 MP,4.0 MP, 32 GB, 3 GB,Pin: Li-Po 2800 mAh,9.590.000 Đ
HTC Desire 816G 2 Sim Chính Hãng," Super LCD 2, 5.5"", HD",13 MP,5.0 MP, 8 GB, 1 GB,Pin: Li-Po 2600 mAh,4.190.000 Đ
HTC One E9 chính hãng," Super LCD 3, 5.5"", Full HD",13 MP,4.0 MP, 16 GB, 2 GB,Pin: Li-Po 2800 mAh,Liên hệ
HTC Desire 630 chính hãng," Super LCD, 5.0"", HD",13 MP,5.0 MP, 16 GB, 2 GB,Pin: Li-Ion 2200 mAh,Liên hệ
HTC One E8 2 Sim Chính Hãng," Super LCD 3, 5.0"", Full HD",13 MP,5.0 MP, 16 GB, 2 GB,Pin: Li-Po 2600 mAh,5.590.000 Đ
HTC Desire 616 Chính hãng 2 sim," IPS LCD, 5.0"", HD",8.0 MP,2.0 MP, 4 GB, 1 GB,Pin: Li-Po 2000 mAh,1.990.000 Đ
HTC Desire 816," Super LCD 2, 5.5"", HD",13 MP,5.0 MP, 8 GB, 1.5 GB,Pin: Li-Po 2600 mAh,5.490.000 Đ
HTC Desire L Chính hãng," IPS LCD, 4.3""",5.0, 5.0 MP, 4 GB, 1 GB,Pin: Li-Ion 1800 mAh,2.490.000 Đ
HTC Desire 210 Chính hãng," TFT, 4.0"", WVGA",5.0 MP,0.3 MP, 4 GB, 512 MB,Pin: Li-Ion 1300 mAh,1.590.000 Đ
HTC Window Phone 8S Chính Hãng," S-LCD, 4.0""",5.0, 5.0 MP, 4 GB, 512 MB,Pin: Li-Po 1700 mAh,2.399.000 Đ
HTC One Mini," Super LCD 2, 4.3"", HD",4.0 MP,1.6 MP, 16 GB, 1 GB,Pin: Li-Po 1800 mAh,5.290.000 Đ
HTC One 16Gb Chính hãng," Super LCD 3, 4.7"", Full HD",4.0 MP,2.1 MP, 16 GB, 2 GB,Pin: Li-Po 2300 mAh,8.190.000 Đ
HTC One 32Gb (Japan) cũ 99% Fullbox," Super LCD 3, 4.7"", Full HD",4.0 MP,2.1 MP, 32 GB, 2 GB,Pin: Li-Po 2300 mAh,5.990.000 Đ
HTC One M8 Fullbox," Super LCD 3, 5.0"", Full HD",Dual 4.0 MP,5.0 MP, 32/64 GB, 2 GB,Pin: Li-Po 2600 mAh,3.990.000 Đ
HTC One M8 Gold cũ 99%," Super LCD 3, 5.0"", Full HD",Dual 5.0 MP,5.0 MP, 32/64 GB, 2 GB,Pin: Li-Po 2600 mAh,Liên hệ
HTC 8X 16G Chính Hãng," S-LCD2, 4.3"", HD",8.0 MP,2.1 MP, 16 GB, 1 GB,Pin: Li-Ion 1800 mAh,3.750.000 Đ
HTC One 32Gb Chính hãng," Super LCD 3, 4.7"", Full HD",4.0 MP,2.1 MP, 32 GB, 2 GB,Pin: Li-Po 2300 mAh,8.590.000 Đ
HTC Desire HD chính hãng," LCD, 4.3""",8.0, 8.0 MP, 1.5 GB, 768 MB,Pin: Li-Po 1230 mAh,690.000 Đ
HTC Desire X Chính hãng," Super LCD, 4.0""",5.0, 5.0 MP, 4 GB, 768 MB,Pin: Li-Ion 1650 mAh,1.990.000 Đ
Galaxy S3 (I9300) Chính hãng," Super AMOLED, 4.8"", HD",8.0 MP,1.9 MP, 16 GB, 1 GB,Pin: Li-Ion 2100 mAh,Liên hệ
Galaxy Grand 2 (G7102) Chính Hãng," TFT, 5.2"", HD",8.0 MP,1.9 MP, 8 GB, 1.5 GB,Pin: Li-Ion 2600 mAh,Liên hệ
Samsung Galaxy Note 3 N900 32G Chính hãng," Super AMOLED, 5.7″, Full HD",13 MP,2.0 MP, 32 GB, 3 GB,Pin: Li-Ion 3200 mAh,Liên hệ
Samsung Galaxy Note 3 Neo (N7500) Chính Hãng," Super AMOLED, 5.5"", HD",8.0 MP,2.0 MP, 16 GB, 2 GB,Pin: Li-Ion 3100 mAh,Liên hệ
Samsung Galaxy S5 (G900H) Chính hãng," Super AMOLED, 5.1"", Quad HD (2K)",16 MP,2.0 MP, 16/32 GB, 2 GB,Pin: Li-Ion 2800 mAh,Liên hệ
