Name,Screen,Main Camera,Selfie Camera,Rom,Ram,Pin,Price
Redmi Note 9 Pro 5G 6Gb/128Gb, ,Chính 108MP+8MP+2MP+2MP,16MP, 128 GB, 6GB,Pin: Li-Po 4820 mAh,6.390.000 Đ
iPhone SE Cũ 16Gb Nguyên Bản," IPS LCD, 4.0"", DVGA",12 MP,1.2 MP, 16 GB, 2 GB,Pin: Li-Po 1624 mAh,2.190.000 Đ
Oppo Reno5Pro 8GB/128GB Hàng chính hãng," OLED, 6.55"", Full HD+","Chính 64 MP & Phụ 8 MP, 2 MP, 2 MP",32MP, 256GB, 8 GB,Pin: Có sạc ngược,Liên hệ
Oppo Reno5 8GB/128GB Hàng chính hãng," 6,43 inch, OLED","Chính 64 MP & Phụ 8 MP, 2 MP, 2 MP",44MP, 128 GB, 8 GB,Pin: 4.310 mAh + Sạc nhanh 50W,8.990.000 Đ
Oppo A15 3GB/32GB Hàng chính hãng," IPS LCD, 6.52"", HD+","Chính 13 MP & Phụ 2 MP, 2 MP",5MP, 32 GB, 3 GB,Pin: Li-Po 4230 mAh,3.290.000 Đ
Xiaomi Redmi 9A 2GB/32GB Chính Hãng," 6,53 inches, IPS LCD",13MP,5MP, 32 GB, 2 GB,Pin: 5020 mAh,1.990.000 Đ
Samsung Galaxy A02S Chính Hãng," TFT LCD, 6.5"", HD+","Chính 13 MP & Phụ 2 MP, 2 MP",5MP, 32 GB, 3GB,Pin: Li-Po 5000 mAh,3.290.000 Đ
Samsung Galaxy A12 Chính Hãng," TFT LCD, 6.5"", HD+","Chính 48 MP & Phụ 5 MP, 2 MP, 2 MP",8MP, 128 GB, 4GB,Pin: Li-Po 5000 mAh,4.290.000 Đ
Samsung Galaxy S20 Ultra Chính Hãng Like New Fullbox," 6.9 inches, 114.0 cm2","Quad: 108 MP, f/1.8, 26mm (wide), PDAF, OIS Periscope 48 MP, f/3.6, 102mm (telephoto), 1/2"", 0.8µm, PDAF, OIS, 10x hybrid optical zoom 12 MP, f/2.2, 13mm (ultrawide), 0.3 MP, TOF 3D","40 MP, f/2.2, 26mm (wide), PDAF", 128GB, 12GB,Pin: Fast battery charging 45W,13.990.000 Đ
Realme 7 Pro 8GB/128GB Chính Hãng, 1080 x 2400 pixel,"Chính 64 MP & Phụ 8 MP, 2 MP, 2 MP",32MP, 128 GB, 8GB,"Pin: 4500 mAh, sạc nhanh 65W",7.490.000 Đ
Realme 7 8GB/128GB Chính Hãng, 1080 x 2400 pixel,"Chính 64MP & Phụ 8MP, 2MP, 2MP",16 MP, 128 GB, 8GB,Pin: 5000mAh,5.990.000 Đ
Samsung Galaxy S20 Plus 8Gb/128Gb Chính Hãng," 6.7 inches, 108.0 cm2","Quad: 12 MP, f/1.8, 26mm (wide), Dual Pixel PDAF, OIS 64 MP, f/2.0, (telephoto), PDAF, OIS, 3x hybrid optical zoom 12 MP, f/2.2, 13mm (ultrawide), AF, Super Steady video 0.3 MP, TOF 3D, (depth)","Dual: 10 MP, f/2.2, 26mm (wide), 1/3.2"", 1.22µm, Dual Pixel PDAF", 128 GB, 8 GB,Pin: Fast battery charging 25W,13.190.000 Đ
Vsmart Aris 8GB/128GB Chính Hãng," 6,39 inches Super AMOLED","64 MP, f / 1.9 (rộng)+8 MP, f / 2.2, 116˚ (ultrawide)+5 MP, f / 2.4, (macro )+2 MP, f / 2.4, (độ sâu)",20 MP, 128/64 GB, 6 GB,"Pin: 4000mAh, hỗ trợ sạc nhanh có dây 18W qua cổng USB C",6.890.000 Đ
Realme C17 6GB/128GB chính hãng, 6.5 inches IPS LCD,"Chính 13 & Phụ 8 MP, 2 MP, 2 MP",8MP, 128 GB, 6GB,"Pin: 5000mAh, sạc nhanh 18W",4.490.000 Đ
Xiaomi POCO X3 NFC - Chính hãng," LCD 6.67 inch, Full HD+ (1080 x 2400 Pixels)",4 Camera,20 MP, 128Gb - Ram 6Gb/64GB - Ram 6GB, 6 GB,Pin: 5180 mAh,5.490.000 Đ
Samsung Galaxy S21 8Gb/128Gb Chính Hãng, Dynamic AMOLED,3 Camera 64MP + 12MP +12MP,"40 MP, f/2.2, 26mm (wide), PDAF", 128GB, 12GB,Pin: 4000 mAh,Liên hệ
Xiaomi Poco F2 Pro Ram 6GB / 128GB Chính hãng, 6.67 inch,"64 MP, f/1.9, 26mm (wide), 1/1.72"", 0.8µm, PDAF 5 MP, f/2.2, 50mm (telephoto macro), AF 13 MP, f/2.4, 123˚ (ultrawide), 1.12µm 2 MP, f/2.4, (depth)",20 MP, 128GB, 6 GB,"Pin: Li-Po 4700 mAh battery,Fast charging 30W, 100% in 63 min",9.190.000 Đ
Realme C15 4GB/64GB Hàng chính hãng, 6.5 inches IPS LCD,"Chính 13 & Phụ 8 MP, 2 MP, 2 MP",8MP, 64 GB, 4GB,Pin: Li-Po 6000 mAh,3.540.000 Đ
Realme C12 3GB/32GB Chính Hãng, 6.5 inches IPS LCD,"Chính 13 & Phụ 8 MP, 2 MP, 2 MP",8MP, 32 GB, 3GB,Pin: Li-Po 6000 mAh,3.090.000 Đ
iPhone 7 128Gb Đã kích hoạt," IPS LCD, 4.7"", HD",12 MP,7.0 MP, 128 GB, 2 GB,Pin: Li-Po 1960 mAh,4.690.000 Đ
iPhone 7 32Gb Đã kích hoạt," IPS LCD, 4.7"", HD",12 MP,7.0 MP, 32 GB, 2 GB,Pin: Li-Po 1960 mAh,4.190.000 Đ
iPhone 7 32Gb Cũ Nguyên Bản," IPS LCD, 4.7"", HD",12 MP,7.0 MP, 32 GB, 2 GB,Pin: Li-Po 1960 mAh,3.390.000 Đ
Vsmart Joy 4 3G/64GB Hàng chính hãng," LCD IPS, 6.5 inch, 1080 x 2400 pixels",48 MP/8MP/2MP,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm", 64 GB, 3GB,"Pin: Li-Po 5000 mAh, Sạc nhanh 18W",2.990.000 Đ
OPPO A52 6GB/128GB Chính Hãng, 1080 x 2400 pixels,"Chính 12MP & phụ 8MP, 2MP, 2MP",8MP, 128 GB, 6 GB,"Pin: 5000mAh, sạc nhanh 18W",5.490.000 Đ
Vsmart Active 3 6G/64GB Chính Hãng," 6,39 inches AMOLED",Triple : 48 + 8 + 2,16 MP, 64 GB, 4GB,Pin: Non-removable Li-Po 4020 mAh battery,3.190.000 Đ
iPhone 12 Mini 64GB Chính Hãng VN/A," IPS LCD, 5.4 inch",, , 64 GB, 4 GB,Pin: Sạc không dây QI,18.790.000 Đ
iPhone 12 Mini 128GB Chính Hãng VN/A," IPS LCD, 5.4 inch",, , 128 GB, 4 GB,Pin: Sạc không dây QI,20.290.000 Đ
iPhone 12 Mini 256GB Chính Hãng VN/A," IPS LCD, 5.4 inch",, , 256 GB, 4 GB,Pin: Sạc không dây QI,22.890.000 Đ
iPhone 12 64GB Chính Hãng VN/A, Full HD+,, , 128/256/64 GB, 4 GB,Pin: Sạc không dây QI,21.650.000 Đ
iPhone 12 128GB Chính Hãng VN/A, Super Retina XDR OLED 6.1 inch,1, 12MP, 128 GB, 4 GB,Pin: Sạc không dây QI,23.150.000 Đ
iPhone 12 256GB Chính Hãng VN/A, Super Retina XDR OLED 6.1 inch,, , 256 GB, 4 GB,Pin: Sạc không dây QI,25.650.000 Đ
iPhone 12 Pro 128GB Chính Hãng VN/A, Super Retina XDR OLED 6.1 inch,, , 128 GB, 6 GB,Pin: Sạc không dây QI,27.990.000 Đ
iPhone 12 Pro 256GB Chính Hãng VN/A, Super Retina XDR OLED 6.1 inch,, , 256 GB, 6 GB,Pin: Sạc không dây QI,30.890.000 Đ
iPhone 12 Pro 512GB Chính Hãng VN/A, Super Retina XDR OLED 6.1 inch,, , 512 GB, 6 GB,Pin: Sạc không dây QI,36.090.000 Đ
iPhone 12 Pro Max 128GB Chính Hãng VN/A, Super Retina XDR OLED 6.7 inch,Camera chính 1, Camera chính 12MP, 128 GB, 6 GB,Pin: Sạc không dây QI,30.290.000 Đ
iPhone 12 Pro Max 256GB Chính Hãng VN/A, Super Retina XDR OLED 6.7 inch,Camera chính 1, Camera chính 12MP, 256GB, 6 GB,Pin: Sạc không dây QI,33.290.000 Đ
iPhone 12 Pro Max 512GB Chính Hãng VN/A, Super Retina XDR OLED 6.7 inch,Camera chính 1, Camera chính 12MP, 512 GB, 6 GB,Pin: Sạc không dây QI,38.290.000 Đ
OPPO A93 8GB/128GB CHÍNH HÃNG," AMOLED 6.43 inch, 1080 x 2400 pixels","Chính 48MP & Phụ 8MP, 2MP, 2MP",16MP & 2MP, 128GB, 8GB,Pin: Li-Po 4000 mAh,6.890.000 Đ
Vsmart Aris Pro 8GB/128GB Chính Hãng," 6,39 inches Super AMOLED","64 MP, f / 1.9 (rộng)+8 MP, f / 2.2, 116˚ (ultrawide)+5 MP, f / 2.4, (macro )+2 MP, f / 2.4, (độ sâu)",20 MP, 128 GB, 8 GB,"Pin: 4000mAh, hỗ trợ sạc nhanh có dây 18W qua cổng USB C",9.990.000 Đ
Realme 7i 8GB/128GB Chính Hãng, 6.5 inch,"Chính 64MP & Phụ 8MP, 2MP, 2MP",16 MP, 128GB, 8 GB,Pin: Li-Po 5000 mAh,5.490.000 Đ
Vsmart Aris 6GB/64GB Chính Hãng," 6,39 inches Super AMOLED","64 MP, f / 1.9 (rộng)+8 MP, f / 2.2, 116˚ (ultrawide)+5 MP, f / 2.4, (macro )+2 MP, f / 2.4, (độ sâu)",20 MP, 128/64 GB, 6 GB,"Pin: 4000mAh, hỗ trợ sạc nhanh có dây 18W qua cổng USB C",5.790.000 Đ
Xiaomi Mi 10T Pro 5G Chính Hãng, 6.67 inch,"Chính 108 MP & Phụ 13 MP, 5 MP",20 MP, Ram 8 Gb / 128 Gb/Ram 8 GB / 256 GB, 8 GB,Pin: 5000mAh,10.990.000 Đ
Samsung Galaxy Note 10 Plus 12Gb/256Gb Chính Hãng," 6.8 inches, 114.0 cm2 (~91.0% screen-to-body ratio)",Triple: 12MP Tele F2.1( TOF) . 12MP F1.5/1.8/1.4(3 Khẩu độ) . 16MP F2.2 ( Camera siêu rộng 123 độ),"10 MP, f/2.2, 26mm (wide), 1.22µm, Dual Pixel PDAF", 256 GB, 12 GB,Pin: Li-Ion 4300 mAh batter,14.990.000 Đ
Xiaomi Redmi Note 9 Pro Chính Hãng," 1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","2 MP, f/2.4, (depth)","16 MP, f/2.0, 26mm (wide), 1/3.1"", 1.0µm", 128/64 GB, 6GB,Pin: Non-removable Li-Po 5020 mAh battery,5.390.000 Đ
iPhone 11 64GB Cũ Nguyên Bản," IPS LCD , 6.1 inches",Dual 12 MP,12MP, 64 GB, 4 GB,Pin: Li-Ion 3110 mAh,13.990.000 Đ
iPhone 11 Cũ 256Gb Nguyên Bản," IPS LCD , 6.1 inches",Dual 12 MP,12MP, 256 GB, 4 GB,Pin: Li-Ion 3110 mAh,16.490.000 Đ
iPhone 11 128Gb Cũ Nguyên Bản," IPS LCD , 6.1 inches",Dual 12 MP,12MP, 128 GB, 4 GB,Pin: Li-Ion 3110 mAh,15.190.000 Đ
Vsmart Joy 4 4G/64GB Hàng chính hãng," LCD IPS, 6.5 inch, 1080 x 2400 pixels",48 MP/8MP/2MP,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm", 64 GB, 3GB,"Pin: Li-Po 5000 mAh, Sạc nhanh 18W",3.290.000 Đ
iPhone 11 64GB Chính Hãng VN/A," IPS LCD , 6.1 inches",Dual 12 MP,12MP, 64 GB, 4 GB,Pin: Li-Ion 3110 mAh,15.950.000 Đ
iPhone 11 128GB Chính Hãng VN/A," IPS LCD , 6.1 inches",Dual 12 MP,12MP, 128 GB, 4 GB,Pin: Li-Ion 3110 mAh,17.390.000 Đ
iPhone 11 256GB Chính Hãng VN/A," IPS LCD , 6.1 inches",Dual 12 MP,12MP, 256 GB, 4 GB,Pin: Li-Ion 3110 mAh,19.690.000 Đ
OPPO A53 4GB/128GB Chính Hãng, 6.5 inch,"Chính 16MP & Phụ 2MP, 2MP",16 MP, 128GB, 4GB,"Pin: 5000mAh, sạc nhanh 18W",4.190.000 Đ
Realme C3 3GB/32GB Chính Hãng, 6.5 inches IPS LCD,"Chính 12MP & Phụ 2MP, 2MP",5.0 MP, 32 GB, 3 GB,Pin: Battery charging 10W,2.790.000 Đ
Realme 6 4GB/128GB Chính Hãng, 1080 x 2400 pixel,"Chính 64MP & Phụ 8MP, 2MP, 2MP",16 MP, 128 GB, 4GB,Pin: Fast battery charging 30W,5.190.000 Đ
Vsmart Live 4 6GB/64GB Chính Hãng," LTPS LCD 6.55 inch, FullHD+","Chính 48MP & Phụ 8MP, 5MP, 2MP",13 MP, 64GB, 6GB,"Pin: 5000mAh, sạc nhanh 18W",4.090.000 Đ
iPhone 11 Pro Max 512Gb Đã Kích Hoạt, 6.5 inch OLED,Triple 12MP + 12MP + 12MP,12MP, 512 GB, 4 GB,Pin: Li-Ion 3969 mAh,24.690.000 Đ
iPhone 11 Pro Max 256Gb Đã Kích Hoạt, 6.5 inch OLED,Triple 12MP + 12MP + 12MP,12MP, 256GB, 4 GB,Pin: Li-Ion 3969 mAh,23.690.000 Đ
iPhone 11 Pro Max 64GB Đã Kích Hoạt, 6.5 inch OLED,Triple 12MP + 12MP + 12MP,12MP, 64 GB, 4 GB,Pin: Li-Ion 3969 mAh,21.990.000 Đ
Vsmart Star 4 3GB/32GB Chính Hãng," IPS LCD 6.09 inch, HD+",Chính 8MP & Phụ 5MP,8MP, 32 GB, 3GB,Pin: Li-Po 3500 mAh,2.290.000 Đ
Samsung Galaxy Note 20 Chính Hãng, 1440 x 3200 pixel,, , 256GB, 8GB,Pin: Li-Ion 4500 mAh,17.290.000 Đ
Oppo Reno4 8GB/128GB chính hãng," AMOLED, 6.4 inch","Chính 48MP & Phụ 8MP, 2MP",32MP & 2MP, 128 GB, 8 GB,"Pin: 4015mAh, sạc nhanh VOOC 4.0 30W",7.090.000 Đ
Samsung Galaxy S20 Ultra 12Gb/128Gb Chính Hãng," 6.9 inches, 114.0 cm2","Quad: 108 MP, f/1.8, 26mm (wide), PDAF, OIS Periscope 48 MP, f/3.6, 102mm (telephoto), 1/2"", 0.8µm, PDAF, OIS, 10x hybrid optical zoom 12 MP, f/2.2, 13mm (ultrawide), 0.3 MP, TOF 3D","40 MP, f/2.2, 26mm (wide), PDAF", 128GB, 12GB,Pin: Fast battery charging 45W,16.990.000 Đ
Samsung Galaxy Note 20 Ultra Chính Hãng, 1440 x 3200 pixel,"108 MP, f/1.8 (wide),12 MP, f/3.0 PDAF, OIS,12 MP, f/2.2(ultrawide)","10 MP, f/2.4, 26mm (wide), PDAF", 256 GB, 8GB,Pin: Li-Ion 4500 mAh,22.590.000 Đ
Samsung Galaxy Note 20 Ultra 5G Chính Hãng, 1440 x 3200 pixel,"Chính 108MP & Phụ 13MP, 12MP",40MP, 256 GB, 12GB,Pin: Li-Ion 4500 mAh,24.990.000 Đ
iPhone Xs Max Cũ 64GB Nguyên Bản," 6.5"" Super Retina HD",Dual 12 MP,7.0 MP, 64 GB, 4 GB,Pin: Li-Ion 3174 mAh,13.690.000 Đ
Samsung Galaxy A71 8Gb/128Gb Chính Hãng," 6.7 inches, 108.4 cm2","Quad: 64 MP, f/1.8, 26mm (wide), 1/1.7"", 0.8µm, PDAF 12 MP, f/2.2, 13mm (ultrawide), 1.12µm 5 MP, f/2.4, (wide), dedicated macro camera 5 MP, f/2.2, (wide), 1/5.0"", 1.12µm, depth sensor","32 MP, f/2.2, 26mm (wide)", 128 GB, 8 GB,Pin: Fast battery charging 25W,7.590.000 Đ
Samsung Galaxy A51 6Gb/128Gb Chính Hãng," IPS LCD, 6.5"", HD+","Quad: 48 MP, f/1.8, (wide), 1/2"", 0.8µm, PDAF 12 MP, (telephoto), PDAF, 2x optical zoom 12 MP, f/2.2, 13mm (ultrawide) 5 MP, f/2.2, depth sensor","32 MP, f/2.0, 25mm (wide)", 128 GB, 6 GB,Pin: Fast battery charging 15W,6.290.000 Đ
Realme 5i 4GB/64GB Chính Hãng," 6.52 inch, HD+","Chính 12MP & phụ 8MP, 2MP, 2MP",8MP, 64GB, 4 GB,Pin: Battery charging 10W,3.340.000 Đ
Samsung Galaxy A11 chính hãng," TFT capacitive touchscreen, 16M colors","13 MP, f/1.8, 28mm (wide), AF","8 MP, f/2.0", 32 GB, 3GB,Pin: 4000 mAh,2.990.000 Đ
iPhone 11 Pro Max cũ 64Gb Nguyên Bản, 6.5 inch OLED,Triple 12MP + 12MP + 12MP,12MP, 64 GB, 4 GB,Pin: Li-Ion 3969 mAh,21.490.000 Đ
Điện Thoại Energizer E241s Chính Hãng," 2.4 inches, QQVGA, 240 x 320 Pixels",, , 4GB, 512 MB,Pin: 1900mAh,819.000 Đ
Điện thoại Energizer E100 Chính Hãng," 2.4 inches, QQVGA, 240 x 320 Pixels",, , 32MB, 32MB,Pin: 1500mAh,490.000 Đ
Realme C11 2GB/32GB Chính Hãng, 6.5 inches IPS LCD,Chính 13MP & Phụ 2MP,5.0 MP, 32 GB, 2 GB,Pin: Li-Po 5000 mAh,2.490.000 Đ
Vivo S1 Pro Chính Hãng 8GB/128GB," Super AMOLED, 6.38"", Full HD+","Chính 48 MP & Phụ 8 MP, 2 MP, 2 MP",32 MP, 128 GB, 8 GB,Pin: Fast battery charging 18W,4.990.000 Đ
Vivo U10 4GB/64GB Chính Hãng," IPS LCD, 6.35"", HD+","Chính 13MP & Phụ 8MP, 2MP","8 MP, f/1.8", 32/64 GB, 3 GB,Pin: 5000 mAh,3.390.000 Đ
iPhone SE 64GB 2020 Chính Hãng VN/A," IPS LCD 4,7"" HD+",12 MP,7.0 MP, 64 GB, 3GB,"Pin: Fast charging 18W, 50% in 30 min",10.990.000 Đ
iPhone 8 Plus Cũ 64Gb Nguyên Bản," IPS LCD, 5.5"", Retina HD",Dual 12 MP,7.0 MP, 64 GB, 3 GB,Pin: Li-Ion 2691 mAh,8.190.000 Đ
Samsung Galaxy Note 10 Lite 8Gb/128Gb Chính Hãng," 6.7 inches, 108.4 cm2","Triple: 12 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF 12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, PDAF, 2x optical zoom 12 MP, f/2.2, 13mm (ultrawide), 1.12µm","32 MP, f/2.0", 128 GB, 8 GB,Pin: Fast battery charging 25W,8.990.000 Đ
iPhone 11 Pro Max 64GB Chính Hãng VN/A, 6.5 inch OLED,Triple 12MP + 12MP + 12MP,12MP, 64 GB, 4 GB,Pin: Li-Ion 3969 mAh,24.890.000 Đ
OPPO A92 8GB/128GB Chính Hãng, 1080 x 2400 pixels,"Chính 48MP & Phụ 8MP, 2MP, 2MP",16 MP, 128GB, 8GB,Pin: Li-Po 5000 mAh,5.590.000 Đ
Xiaomi Redmi Note 9S RAM 4GB 64GB Chính Hãng," IPS LCD capacitive touchscreen, 16M colors Size 6.67 inches, 107.4 cm2 (~84.5% screen-to-body ratio)","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 13mm (ultrawide), 1/4.0"", 1.12µm 5 MP, f/2.4, (macro), 1.12µm 2 MP, f/2.4, (depth)","16 MP, f/2.5, (wide), 1.0µm", 64 GB, 4GB,Pin: 5020 mAh,4.690.000 Đ
iPhone 6S Cũ 16GB Quốc Tế," IPS LCD, 4.7"", HD",12 MP,5.0 MP, 16 GB, 2 GB,Pin: Li-Po 1715 mAh,2.690.000 Đ
Xiaomi Redmi K30 5G 6GB / 64GB," 6.67 inches, 1080 x 2340 pixels, IPS LCD, tần số quét màn 120Hz, 19.5:9",64MP + 8MP + 2MP +5MP,Dual 20 MP + 2 MP, 64 GB, 6 GB,Pin: 4500mAh,5.190.000 Đ
Xiaomi Redmi Note 8 Pro Ram 6GB/64GB," 6,53 inches, IPS LCD",Quad : 64 MP + 8 MP+ 2 MP + 2 MP,20 MP, 64 GB, 6 GB,Pin: Li-Po 4500 mAh,4.190.000 Đ
Xiaomi Redmi Note 8 Ram 4GB/64GB," 6,39 inches, IPS LCD",Quad : 48 + 8 + 2 + 2 ( MP ),13 MP, 64 GB, 4 GB,Pin: 4000 mAh,3.490.000 Đ
Xiaomi Redmi Note 9 Chính Hãng," 1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 118° (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro), AF 2 MP, f/2.4, (depth)","13 MP, f/2.3, 29mm (normal), 1/3.1"", 1.12µm", , ,Pin: 5020 mAh,3.690.000 Đ
Samsung Galaxy M31 6Gb/128Gb Chính Hãng," 6.4 inches, 98.9 cm2","Triple: 64 MP, f/2.0, 26mm (wide), 1/1.7"", 0.8µm, PDAF 8 MP, f/2.2, 12mm (ultrawide), 1/4.0"", 1.12µm 5 MP, f/2.4, 25mm (macro), 1/5.0"", 1.12µm 5 MP, f/2.2, (depth)","32 MP, f/2.0", 128 GB, 6 GB,Pin: Fast battery charging 15W,4.990.000 Đ
Xiaomi Redmi 9C 2GB/32GB Chính Hãng," 6,53 inches, IPS LCD","Chính 13MP & Phụ 5MP, 2MP",5MP, 32 GB, 2 GB,Pin: 5000mAh,2.290.000 Đ
Oppo Reno4 Pro 8GB/256GB chính hãng," AMOLED, 6.5 inch, 1080 x 2400 pixels","Chính 48MP & Phụ 8MP, 2MP, 2MP",32MP, 256GB, 8 GB,Pin: 4000 mAh,10.690.000 Đ
Xiaomi Redmi 9 3GB/32GB Chính Hãng, 1080 x 2340 pixel,"Chính 13MP & Phụ 8MP, 5MP, 2MP","8 MP, f/2.0", 32 GB, 3GB,Pin: 5020 mAh,3.090.000 Đ
Xiaomi Redmi Note 8 Pro Chính Hãng Ram 6GB / 64GB," 6,53 inches, IPS LCD",Quad : 64 MP + 8 MP+ 2 MP + 2 MP,20 MP, 64 GB, 6 GB,Pin: Li-Po 4500 mAh,4.990.000 Đ
Xiaomi Redmi 9C 3GB/64GB Chính Hãng," 6,53 inches, IPS LCD","Chính 13MP & Phụ 5MP, 2MP",5MP, 64 GB, 3GB,Pin: 5000mAh,2.790.000 Đ
Xiaomi Redmi K30 5G 6GB / 128GB," 6.67 inches, 1080 x 2340 pixels, IPS LCD, tần số quét màn 120Hz, 19.5:9",64MP + 8MP + 2MP +5MP,Dual 20 MP + 2 MP, 128 GB, 6 GB,Pin: 4500mAh,5.590.000 Đ
Xiaomi Redmi K30 (4G) 6GB / 64GB, ,64MP f1.8 (main) 13MP f2.4(wide) 8MP f/2.4 (telephoto) 2MP,Dual 20 MP + 2 MP, 64 GB, 6 GB,Pin: 4500mAh,4.590.000 Đ
Xiaomi Redmi 9 4GB/64GB Chính Hãng, 1080 x 2340 pixel,"Chính 13MP & Phụ 8MP, 5MP, 2MP","8 MP, f/2.0", 64 GB, 4GB,Pin: 5020 mAh,3.390.000 Đ
Samsung Galaxy A21s chính hãng," 6.55 inches, 103.6 cm2",1080p@30fps,1080p@30fps, 32/64GB, 3GB,Pin: Non-removable Li-Po 5000 mAh battery,4.290.000 Đ
Xiaomi Redmi 10x 4G 4GB/128GB," 6.53 inches, 104.7 cm2 (~85.3% screen-to-body ratio)","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 118˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",13 MP, 128 GB, 4 GB,Pin: 5020 mAh,3.590.000 Đ
Xiaomi Redmi 10x 5G 6Gb / 64Gb, 6.57 inch,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 119˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (depth)",16 MP, 64 GB, 6GB,Pin: 4520 mAh,5.590.000 Đ
Xiaomi Redmi K30i (5G) 6GB / 128GB, 6.67 inch,"48 MP, f/1.9, (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",Dual 20 MP + 2 MP, 128 GB, 6 GB,Pin: Li-Po 4800 mAh,5.390.000 Đ
Xiaomi Mi Note 10 Lite chính hãng," 6.47 inches, 102.8 cm2 (~87.8% screen-to-body ratio)","2 MP, f/2.4, (depth)","32 MP, f/2.0, 0.8µm", 128GB - Ram 8GB/64GB - Ram 6GB, 6GB,Pin: Non-removable Li-Po 5260 mAh battery,6.990.000 Đ
Xiaomi Redmi Note 7 Chính Hãng DGW Ram 3GB / 32GB," LTPS LCD 6.3"" Full HD+",Dual 48 MP + 5 MP,13 MP, 32 GB, 3 GB,Pin: Li-Po 4000 mAh,3.190.000 Đ
Xiaomi Redmi Note 7 Ram 6GB / 64GB," LTPS LCD 6.3"" Full HD+",48 MP,13 MP, 64 GB, 6 GB,Pin: Li-Po 4000 mAh,3.490.000 Đ
Xiaomi Black Shark 3 RAM 8GB 128GB," 6.67 inches, 107.4 cm2 (~82.4% screen-to-body ratio) Resolution 1080 x 2400 pixels, 20:9 ratio (~395 ppi density) DCI-P3 Always-on display 90Hz 270Hz touch-sensing 500 nits typ. brightness HDR10+","64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF 13 MP, f/2.3, (ultrawide) 5 MP, f/2.2, (depth)","20 MP, f/2.0, (wide), 1/3"", 0.9µm", 128 GB, 8GB,Pin: ,11.790.000 Đ
Xiaomi Redmi K30 (5G) 8GB / 128GB," 6.67"" IPS LCD",64MP+8MP+5MP,20MP+5MP, 128 GB, 8GB,Pin: Li-Po 4500 mAh,6.390.000 Đ
Samsung Galaxy M21 4Gb/64Gb Chính Hãng," 6.4 inches, 100.5 cm2","Triple: 48 MP, f/2.0, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 12mm (ultrawide), 1/4.0"", 1.12µm 5 MP, f/2.2, (depth)","16 MP, f/2.0, 26mm (wide), 1/3.1"", 1.0µm", 64 GB, 4 GB,Pin: Fast battery charging 15W,4.990.000 Đ
Xiaomi Redmi Note 10 - Hàng Chính hãng," 1080 x 2400 pixels, 20:9 ratio (~401 ppi density)","2 MP, f/2.4, (depth)","16 MP, (wide), 1/3.06"", 1.0µm", 128/256/64 GB, 4GB/6GB/8GB,Pin: Fast charging 22.5W,Liên hệ
Samsung Galaxy A31 Chính Hãng, 1080 x 2400 pixels,"Chính 48MP & Phụ 8MP, 5MP, 5MP",20 MP, 128 GB, 6GB,Pin: Li-Po 5000 mAh,5.290.000 Đ
Samsung Galaxy Note 10 8Gb/256Gb Chính Hãng," 6.3 inches, 98.6 cm2 (~90.9% screen-to-body ratio)","Triple: 12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS 12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom 16 MP, f/2.2, 12mm (ultrawide), 1.0µm","10 MP, f/2.2, 26mm (wide), 1.22µm, Dual Pixel PDAF", 256 GB, 8 GB,Pin: Li-Ion 3500 mAh battery,11.990.000 Đ
Oppo Reno3 8GB/128GB chính hãng," 1080 x 2400 pixels, 20:9 ratio (~411 ppi density)","Chính 48MP & Phụ 13MP, 8MP, 2MP",44MP, 128 GB, 12 GB,Pin: Fast battery charging 30W: 50% in 20min (VOOC Flash Charge 4.0),6.690.000 Đ
Vivo V19 8GB/128GB Chính Hãng, 1080 x 2400 pixel,"Chính 48MP & Phụ 8MP, 2MP, 2MP",32 MP, 128/256 GB, 8GB,Pin: Li-Po 4500mAh,8.990.000 Đ
